season,episode,airdate,title,rating,sample
1,1,11 May 2012,Days Gone Bye,9.2,24863.0
1,2,12 May 2012,Guts,8.6,15697.0
1,3,12 May 2012,Tell It to the Frogs,8.2,14381.0
1,4,13 May 2012,Vatos,8.5,14060.0
1,5,13 May 2012,Wildfire,8.1,13504.0
1,6,13 May 2012,TS-19,8.6,14715.0
2,1,1 Nov. 2012,What Lies Ahead,8.5,13271.0
2,2,1 Nov. 2012,Bloodletting,7.9,12004.0
2,3,2 Nov. 2012,Save the Last One,8.3,12005.0
2,4,2 Nov. 2012,Cherokee Rose,7.5,11653.0
2,5,2 Nov. 2012,Chupacabra,8.0,11738.0
2,6,3 Nov. 2012,Secrets,7.6,11410.0
2,7,3 Nov. 2012,Pretty Much Dead Already,9.2,16643.0
2,8,3 Nov. 2012,Nebraska,8.2,11529.0
2,9,3 Nov. 2012,Triggerfinger,8.2,11173.0
2,10,4 Nov. 2012,18 Miles Out,8.4,11563.0
2,11,4 Nov. 2012,"Judge, Jury, Executioner",8.5,11773.0
2,12,4 Nov. 2012,Better Angels,9.0,14010.0
2,13,4 Nov. 2012,Beside the Dying Fire,9.2,15683.0
3,1,31 Oct. 2013,Seed,8.8,13890.0
3,2,1 Nov. 2013,Sick,8.5,11596.0
3,3,1 Nov. 2013,Walk with Me,8.1,11161.0
3,4,1 Nov. 2013,Killer Within,9.3,15461.0
3,5,1 Nov. 2013,Say the Word,8.1,10466.0
3,6,1 Nov. 2013,Hounded,8.1,10320.0
3,7,2 Nov. 2013,When the Dead Come Knocking,8.5,10586.0
3,8,2 Nov. 2013,Made to Suffer,8.9,11903.0
3,9,2 Nov. 2013,The Suicide King,8.0,10585.0
3,10,2 Nov. 2013,Home,8.6,11341.0
3,11,3 Nov. 2013,I Ain't a Judas,7.7,10345.0
3,12,3 Nov. 2013,Clear,8.7,12205.0
3,13,3 Nov. 2013,Arrow on the Doorpost,7.7,10625.0
3,14,3 Nov. 2013,Prey,7.9,10588.0
3,15,3 Nov. 2013,This Sorrowful Life,8.8,12047.0
3,16,4 Nov. 2013,Welcome to the Tombs,8.2,12247.0
4,1,27 Oct. 2014,30 Days Without an Accident,8.1,12698.0
4,2,28 Oct. 2014,Infected,8.3,11014.0
4,3,28 Oct. 2014,Isolation,7.9,10367.0
4,4,29 Oct. 2014,Indifference,7.9,10411.0
4,5,29 Oct. 2014,Internment,8.8,12498.0
4,6,30 Oct. 2014,Live Bait,7.7,10970.0
4,7,30 Oct. 2014,Dead Weight,7.7,10614.0
4,8,31 Oct. 2014,Too Far Gone,9.6,26353.0
4,9,31 Oct. 2014,After,8.0,11471.0
4,10,31 Oct. 2014,Inmates,8.1,10551.0
4,11,31 Oct. 2014,Claimed,8.1,10294.0
4,12,1 Nov. 2014,Still,7.3,13654.0
4,13,1 Nov. 2014,Alone,7.9,10612.0
4,14,2 Nov. 2014,The Grove,9.1,16277.0
4,15,2 Nov. 2014,Us,8.4,10395.0
4,16,2 Nov. 2014,A,9.1,15821.0
5,1,31 Oct. 2015,No Sanctuary,9.6,27039.0
5,2,1 Nov. 2015,Strangers,8.5,12329.0
5,3,1 Nov. 2015,Four Walls and a Roof,9.0,13970.0
5,4,1 Nov. 2015,Slabtown,7.4,12128.0
5,5,2 Nov. 2015,Self Help,7.9,10911.0
5,6,2 Nov. 2015,Consumed,8.0,10705.0
5,7,2 Nov. 2015,Crossed,7.9,10095.0
5,8,3 Nov. 2015,Coda,8.7,13487.0
5,9,4 Nov. 2015,What Happened and What's Going On,7.9,12881.0
5,10,4 Nov. 2015,Them,7.5,11027.0
5,11,5 Nov. 2015,The Distance,8.4,10471.0
5,12,5 Nov. 2015,Remember,8.6,10815.0
5,13,6 Nov. 2015,Forget,7.9,9786.0
5,14,6 Nov. 2015,Spend,8.9,12110.0
5,15,7 Nov. 2015,Try,8.5,10465.0
5,16,8 Nov. 2015,Conquer,9.2,16153.0
6,1,13 Oct. 2016,First Time Again,8.6,15184.0
6,2,13 Oct. 2016,JSS,9.2,15451.0
6,3,13 Oct. 2016,Thank You,9.2,16450.0
6,4,13 Oct. 2016,Here's Not Here,8.2,13840.0
6,5,13 Oct. 2016,Now,7.2,10598.0
6,6,13 Oct. 2016,Always Accountable,7.6,10059.0
6,7,13 Oct. 2016,Heads Up,8.0,9962.0
6,8,13 Oct. 2016,Start to Finish,8.0,10773.0
6,9,13 Oct. 2016,No Way Out,9.6,28473.0
6,10,13 Oct. 2016,The Next World,8.3,10980.0
6,11,13 Oct. 2016,Knots Untie,8.1,9567.0
6,12,13 Oct. 2016,Not Tomorrow Yet,9.0,12149.0
6,13,13 Oct. 2016,The Same Boat,8.6,11187.0
6,14,13 Oct. 2016,Twice as Far,8.0,9689.0
6,15,13 Oct. 2016,East,7.9,9716.0
6,16,13 Oct. 2016,Last Day on Earth,6.8,30482.0
7,1,23 Oct. 2016,The Day Will Come When You Won't Be,9.1,40180.0
7,2,31 Oct. 2016,The Well,7.1,13249.0
7,3,7 Nov. 2016,The Cell,7.5,11739.0
7,4,14 Nov. 2016,Service,7.6,11508.0
7,5,21 Nov. 2016,Go Getters,6.8,10782.0
7,6,28 Nov. 2016,Swear,5.7,13844.0
7,7,5 Dec. 2016,Sing Me a Song,7.9,10797.0
7,8,12 Dec. 2016,Hearts Still Beating,8.7,12670.0
7,9,13 Feb. 2017,Rock in the Road,8.0,9894.0
7,10,20 Feb. 2017,New Best Friends,7.3,9198.0
7,11,27 Feb. 2017,Hostiles and Calamities,7.3,9137.0
7,12,6 Mar. 2017,Say Yes,7.0,9400.0
7,13,13 Mar. 2017,Bury Me Here,7.6,9192.0
7,14,20 Mar. 2017,The Other Side,6.6,8969.0
7,15,27 Mar. 2017,Something They Need,7.5,8459.0
7,16,3 Apr. 2017,The First Day of the Rest of Your Life,7.7,14324.0
8,1,23 Oct. 2017,Mercy,6.9,12582.0
8,2,30 Oct. 2017,The Damned,6.7,10377.0
8,3,6 Nov. 2017,Monsters,6.3,9707.0
8,4,13 Nov. 2017,Some Guy,6.8,9600.0
8,5,20 Nov. 2017,The Big Scary U,7.2,8659.0
8,6,27 Nov. 2017,"The King, the Widow and Rick",6.1,8308.0
8,7,4 Dec. 2017,Time for After,6.5,7959.0
8,8,10 Dec. 2017,How It's Gotta Be,6.7,10451.0
8,9,25 Feb. 2018,Honor,6.8,9206.0
8,10,4 Mar. 2018,The Lost and the Plunderers,7.6,7684.0
8,11,11 Mar. 2018,Dead or Alive Or,6.9,6942.0
8,12,18 Mar. 2018,The Key,8.0,8051.0
8,13,25 Mar. 2018,Do Not Send Us Astray,7.2,7191.0
8,14,1 Apr. 2018,Still Gotta Mean Something,7.2,6965.0
8,15,8 Apr. 2018,Worth,7.7,6965.0
8,16,15 Apr. 2018,Wrath,7.5,9338.0
9,1,7 Oct. 2018,A New Beginning,7.3,8909.0
9,2,15 Oct. 2018,The Bridge,7.7,7693.0
9,3,21 Oct. 2018,Warning Signs,7.7,7385.0
9,4,28 Oct. 2018,The Obliged,8.0,7557.0
9,5,4 Nov. 2018,What Comes After,9.2,15278.0
9,6,11 Nov. 2018,Who Are You Now?,7.8,7615.0
9,7,18 Nov. 2018,Stradivarius,7.1,6996.0
9,8,25 Nov. 2018,Evolution,8.8,9416.0
9,9,10 Feb. 2019,Adaptation,7.8,6440.0
9,10,17 Feb. 2019,Omega,7.8,6484.0
9,11,24 Feb. 2019,Bounty,7.7,6386.0
9,12,3 Mar. 2019,Guardians,7.7,6117.0
9,13,10 Mar. 2019,Chokepoint,8.2,6580.0
9,14,17 Mar. 2019,Scars,7.9,6851.0
9,15,24 Mar. 2019,The Calm Before,9.2,12314.0
9,16,31 Mar. 2019,The Storm,7.5,7223.0
10,1,6 Oct. 2019,Lines We Cross,7.4,6958.0
10,2,13 Oct. 2019,We Are the End of the World,6.9,6596.0
10,3,20 Oct. 2019,Ghosts,7.5,6081.0
10,4,27 Oct. 2019,Silence the Whisperers,7.1,5817.0
10,5,3 Nov. 2019,What It Always Is,8.0,6227.0
10,6,10 Nov. 2019,Bonds,7.7,5641.0
10,7,17 Nov. 2019,Open Your Eyes,7.7,5729.0
10,8,24 Nov. 2019,The World Before,7.1,5529.0
10,9,23 Feb. 2020,Squeeze,7.4,5700.0
10,10,1 Mar. 2020,Stalker,8.0,5824.0
10,11,8 Mar. 2020,Morning Star,8.3,6050.0
10,12,15 Mar. 2020,Walk with Us,9.0,8409.0
10,13,22 Mar. 2020,What We Become,7.7,6718.0
10,14,29 Mar. 2020,Look at the Flowers,7.8,5423.0
10,15,5 Apr. 2020,The Tower,7.4,5412.0
10,16,1 Oct. 2020,A Certain Doom,8.3,7490.0
10,17,21 Feb. 2021,Home Sweet Home,7.1,6467.0
10,18,4 Mar. 2021,Find Me,6.1,6714.0
10,19,11 Mar. 2021,One More,7.3,6575.0
10,20,18 Mar. 2021,Splinter,5.1,7819.0
10,21,25 Mar. 2021,Diverged,4.0,9057.0
10,22,4 Apr. 2021,Here's Negan,9.1,11959.0
11,1,15 Aug. 2021,Acheron: Part I,8.4,7551.0
11,2,22 Aug. 2021,Acheron: Part II,8.5,6566.0
11,3,29 Aug. 2021,Hunted,7.8,5723.0
11,4,5 Sep. 2021,Rendition,7.3,5551.0
11,5,12 Sep. 2021,Out of the Ashes,7.7,4937.0
11,6,19 Sep. 2021,On the Inside,8.7,6564.0
11,7,26 Sep. 2021,Promises Broken,7.8,4598.0
11,8,3 Oct. 2021,For Blood,8.3,5152.0
11,9,21 Feb. 2022,No Other Way,8.7,6210.0
11,10,20 Feb. 2022,New Haunts,7.5,4362.0
11,11,27 Feb. 2022,Rogue Element,6.7,4206.0
11,12,6 Mar. 2022,The Lucky Ones,7.1,3603.0
11,13,13 Mar. 2022,Warlords,8.4,4006.0
11,14,20 Mar. 2022,The Rotten Core,8.4,3698.0
11,15,27 Mar. 2022,Trust,7.5,3145.0
11,16,3 Apr. 2022,Acts of God,7.9,3498.0
11,17,2 Oct. 2022,Episode #11.17,,
11,18,2022,Episode #11.18,,
11,19,2022,Episode #11.19,,
11,20,2022,Episode #11.20,,
11,21,2022,Episode #11.21,,
11,22,2022,Episode #11.22,,
11,23,2022,Episode #11.23,,
11,24,2022,Episode #11.24,,
